...OMV2bCZiefg	avrolancaster battleofbritainmemorialflight bbmf	Martin Mill, England, United Kingdom	7
..AZMvSbAZwf_ObqcA	sea green water swim wave swimmer emerald	Kerrier District, United Kingdom	7
..AZMvSbAZwf_ObqcA	blue sea yacht sparkle sail	Kerrier District, United Kingdom	7
..AZMvSbAZwf_ObqcA	shewhomustbeobeyed kynancecove	Kerrier District, United Kingdom	7
..AZMvSbAZwf_ObqcA	grass cornwall lizard thrift foxglove hedgerow seapink armeriamaritima andlotsandlotsofbutterflies	Kerrier District, United Kingdom	7
..AZMvSbAZwf_ObqcA	sea river boat canoe estuary messing fal	Kerrier District, United Kingdom	7
..AZMvSbAZwf_ObqcA	lost cornwall walk thelizard shewhomustbeobeyed betterhalf	Kerrier District, United Kingdom	7
..AZMvSbAZwf_ObqcA	cliff cow cornwall top beef eat beast horn yumyum footpath beastie clifftop highlandcow kynancecove	Kerrier District, United Kingdom	7
..AZMvSbAZwf_ObqcA	sea cliff rock point cornwall cove south lizard reef thelizard kynancecove southerly kartpostal	Kerrier District, United Kingdom	7
..AZMvSbAZwf_ObqcA	sea white water swim surf under wave swimmer roller drowning breaking	Kerrier District, United Kingdom	7
..AZMvSbAZwf_ObqcA	pink sea butterfly paintedlady	Kerrier District, United Kingdom	7
..PmclGYBpS2CA	lightpainting stars flash helicopter cumbria wreck scrap gel strobe damian startrail gelled damianhock millomrafrestorationhall	Dalton-in-Furness, England, United Kingdom	7
..PmclGYBpS2CA	lightpainting stars flash helicopter cumbria wreck scrap gel strobe damian startrail gelled damianhock millomrafrestorationhall	Dalton-in-Furness, England, United Kingdom	7
..PmclGYBpS2CA	lightpainting stars flash helicopter cumbria wreck scrap gel strobe damian startrail gelled damianhock millomrafrestorationhall	Dalton-in-Furness, England, United Kingdom	7
..PmclGYBpS2CA	macro water dvd drops cd sigma105 damianhock	Dalton-in-Furness, England, United Kingdom	7
..PmclGYBpS2CA	sunset sea man apple water silhouette sunrise work mac surfer kitesurfing cumbria worker watersports kitesurfer walney earnsebay damianhock baroowinfurness	Dalton-in-Furness, England, United Kingdom	7
..PmclGYBpS2CA	sorrydamian	Dalton-in-Furness, England, United Kingdom	7
..PmclGYBpS2CA	sunset sea reflection sol water sunrise nikon cumbria d300 18200vr silecroft damianhock	Dalton-in-Furness, England, United Kingdom	7
..PmclGYBpS2CA	nikon lakes lakedistrict cumbria hdr wastwater d300 18200vr damianhock	Dalton-in-Furness, England, United Kingdom	7
..PmclGYBpS2CA	macro dragonfly darter damianhock	Dalton-in-Furness, England, United Kingdom	7
